Exercise_Name,URL,Thumbnail_URL
Plank To Push Up,https://www.youtube.com/watch?v=56vUOad6Irs,https://i.ytimg.com/vi/56vUOad6Irs/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDvkVCWr9pYIzkkarDzBhIaGNtFJQ
V Sit Up,https://www.youtube.com/watch?v=cSCyyfBti7U,https://i.ytimg.com/vi/cSCyyfBti7U/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAU5D57lmxwXxqOt_6NLX8HQlJnDw
Pulse Sit Ups,https://www.youtube.com/watch?v=O8i7KeZqP9A,https://i.ytimg.com/vi/O8i7KeZqP9A/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB5NPNO0gsO0qJ6laGA1gN_Hv7RoA
Swiss Ball Pikes,https://www.youtube.com/watch?v=vo3csqN6rpo,https://i.ytimg.com/vi/vo3csqN6rpo/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBxep4-bD3NvSdBXyJYKhlSc96HSw
Sit Ups,https://www.youtube.com/watch?v=T3XsCC2Td1g,https://i.ytimg.com/vi/T3XsCC2Td1g/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAo3t4ZJ0rallJXpBqjfCzxAw3Xhw
Swiss Ball Circles,https://www.youtube.com/watch?v=l03eQ2qu2a8,https://i.ytimg.com/vi/l03eQ2qu2a8/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBasXptZJAIp8wI6pPs_LMLDcsdWA
Side Plank,https://www.youtube.com/watch?v=Oe9Tp9SvTCE,https://i.ytimg.com/vi/Oe9Tp9SvTCE/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDeoCFf3uBiVIpSmOWaM3T8fkevNw
Plank,https://www.youtube.com/watch?v=q4rDeHYMcIg,https://i.ytimg.com/vi/q4rDeHYMcIg/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAffy9CnfMLpNLv8VEkavW3YckrwQ
Ab Exercise - How to plank knee to elbow,https://www.youtube.com/watch?v=pI7uWJXcfPE,https://i.ytimg.com/vi/pI7uWJXcfPE/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCn033mwQ_WPYXhfSzwZJiqKtsMIg
How To Plank From Knee (Modified Plank),https://www.youtube.com/watch?v=iDSHokfXqyA,https://i.ytimg.com/vi/iDSHokfXqyA/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAqJzGoOLNzUKKFKYzN756Q_IajaA
Single Arm Curl (Bicep Curl),https://www.youtube.com/watch?v=Zl1eiQN5Dxs,https://i.ytimg.com/vi/Zl1eiQN5Dxs/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAM_jepqIAF7xE4MzHXBBYeaNDP6w
n Overhead Tricep Extension,https://www.youtube.com/watch?v=9wxRhONFsRA,https://i.ytimg.com/vi/9wxRhONFsRA/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBXAeiEpslcjXKmmRpoAh_wjY8zLA
Skull Crushers,https://www.youtube.com/watch?v=sDxcKjCqXAo,https://i.ytimg.com/vi/sDxcKjCqXAo/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAJ6je9Hi-ubHPkj_9MgiaQQkxlWQ
